Database, Schema, TableName/ViewName, ColumnName, DataType
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_REFUNDED_ADDR_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_RETURNING_CUSTOMER_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_RETURNING_CDEMO_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_RETURNING_HDEMO_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_RETURNING_ADDR_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_CALL_CENTER_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_CATALOG_PAGE_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_SHIP_MODE_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_WAREHOUSE_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_REASON_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_ORDER_NUMBER,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_RETURN_QUANTITY,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_RETURN_AMOUNT,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_RETURN_TAX,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_RETURN_AMT_INC_TAX,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_FEE,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_RETURN_SHIP_COST,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_REFUNDED_CASH,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_REVERSED_CHARGE,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_STORE_CREDIT,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_RETURNS,CR_NET_LOSS,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_SOLD_DATE_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_SOLD_TIME_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_SHIP_DATE_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_BILL_CUSTOMER_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_BILL_CDEMO_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_BILL_HDEMO_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_BILL_ADDR_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_SHIP_CUSTOMER_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_SHIP_CDEMO_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_SHIP_HDEMO_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_SHIP_ADDR_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_CALL_CENTER_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_CATALOG_PAGE_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_SHIP_MODE_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_WAREHOUSE_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_ITEM_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_PROMO_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_ORDER_NUMBER,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_QUANTITY,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_WHOLESALE_COST,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_LIST_PRICE,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_SALES_PRICE,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_EXT_DISCOUNT_AMT,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_EXT_SALES_PRICE,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_EXT_WHOLESALE_COST,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_EXT_LIST_PRICE,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_EXT_TAX,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_COUPON_AMT,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_EXT_SHIP_COST,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_NET_PAID,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_NET_PAID_INC_TAX,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_NET_PAID_INC_SHIP,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_NET_PAID_INC_SHIP_TAX,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CATALOG_SALES,CS_NET_PROFIT,NUMBER(7,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_CUSTOMER_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_CUSTOMER_ID,VARCHAR(16)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_CURRENT_CDEMO_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_CURRENT_HDEMO_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_CURRENT_ADDR_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_FIRST_SHIPTO_DATE_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_FIRST_SALES_DATE_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_SALUTATION,VARCHAR(10)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_FIRST_NAME,VARCHAR(20)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_LAST_NAME,VARCHAR(30)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_PREFERRED_CUST_FLAG,VARCHAR(1)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_BIRTH_DAY,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_BIRTH_MONTH,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_BIRTH_YEAR,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_BIRTH_COUNTRY,VARCHAR(20)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_LOGIN,VARCHAR(13)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_EMAIL_ADDRESS,VARCHAR(50)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER,C_LAST_REVIEW_DATE,VARCHAR(10)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_ADDRESS,CA_ADDRESS_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_ADDRESS,CA_ADDRESS_ID,VARCHAR(16)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_ADDRESS,CA_STREET_NUMBER,VARCHAR(10)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_ADDRESS,CA_STREET_NAME,VARCHAR(60)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_ADDRESS,CA_STREET_TYPE,VARCHAR(15)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_ADDRESS,CA_SUITE_NUMBER,VARCHAR(10)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_ADDRESS,CA_CITY,VARCHAR(60)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_ADDRESS,CA_COUNTY,VARCHAR(30)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_ADDRESS,CA_STATE,VARCHAR(2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_ADDRESS,CA_ZIP,VARCHAR(10)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_ADDRESS,CA_COUNTRY,VARCHAR(20)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_ADDRESS,CA_GMT_OFFSET,NUMBER(5,2)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_ADDRESS,CA_LOCATION_TYPE,VARCHAR(20)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_DEMOGRAPHICS,CD_DEMO_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_DEMOGRAPHICS,CD_GENDER,VARCHAR(1)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_DEMOGRAPHICS,CD_MARITAL_STATUS,VARCHAR(1)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_DEMOGRAPHICS,CD_EDUCATION_STATUS,VARCHAR(20)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_DEMOGRAPHICS,CD_PURCHASE_ESTIMATE,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_DEMOGRAPHICS,CD_CREDIT_RATING,VARCHAR(10)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_DEMOGRAPHICS,CD_DEP_COUNT,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_DEMOGRAPHICS,CD_DEP_EMPLOYED_COUNT,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,CUSTOMER_DEMOGRAPHICS,CD_DEP_COLLEGE_COUNT,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_DATE_SK,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_DATE_ID,VARCHAR(16)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_DATE,DATE
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_MONTH_SEQ,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_WEEK_SEQ,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_QUARTER_SEQ,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_YEAR,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_DOW,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_MOY,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_DOM,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_QOY,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_FY_YEAR,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_FY_QUARTER_SEQ,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_FY_WEEK_SEQ,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_DAY_NAME,VARCHAR(9)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_QUARTER_NAME,VARCHAR(6)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_HOLIDAY,VARCHAR(1)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_WEEKEND,VARCHAR(1)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_FOLLOWING_HOLIDAY,VARCHAR(1)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_FIRST_DOM,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_LAST_DOM,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_SAME_DAY_LY,NUMBER(38,0)
SNOWFLAKE_SAMPLE_DATA,TPCDS_SF100TCL,DATE_DIM,D_SAME_DAY_LQ,NUMBER(38,0)
